Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
206.  ;Feliks, Net i Nika, tom 06, Feliks, Net i Nika oraz Orbitalny spisek 2, Mała armia;Kosik Rafał;2010;461;fantastyka młodzieżowa;;;;;
201.  ;Feliks, Net i Nika, tom 01, Feliks, Net i Nika oraz Gang niewidzialnych ludzi;Kosik Rafał;2011;375;fantastyka młodzieżowa;;;;;
202.  ;Feliks, Net i Nika, tom 02, Feliks, Net i Nika oraz Teoretycznie możliwa katastrofa;Kosik Rafał;2011;532;fantastyka młodzieżowa;;;;;
203.  ;Feliks, Net i Nika, tom 03, Feliks, Net i Nika oraz Pałac snów;Kosik Rafał;2011;458;fantastyka młodzieżowa;;;;;
204.  ;Feliks, Net i Nika, tom 04, Feliks, Net i Nika oraz Pułapka nieśmiertelności;Kosik Rafał;2011;529;fantastyka młodzieżowa;;;;;
208.  ;Feliks, Net i Nika, tom 08, Feliks, Net i Nika oraz Bunt maszyn;Kosik Rafał;2011;486;fantastyka młodzieżowa;;;;;
209.  ;Feliks, Net i Nika, tom 09, Feliks, Net i Nika oraz Świat Zero;Kosik Rafał;2011;467;fantastyka młodzieżowa;;;;;
210.  ;Feliks, Net i Nika, tom 10, Feliks, Net i Nika oraz Świat Zero 2, Alternauci;Kosik Rafał;2012;604;fantastyka młodzieżowa;;;;;
211.  ;Feliks, Net i Nika, tom 12, Feliks, Net i Nika oraz Sekret Czerwonej Hańczy;Kosik Rafał;2013;494;fantastyka młodzieżowa;;;;;
212.  ;Feliks, Net i Nika, tom 13, Feliks, Net i Nika oraz Klątwa domu McKillianów;Kosik Rafał;2014;398;fantastyka młodzieżowa;;;;;
213.  ;Feliks, Net i Nika, tom 14, Feliks, Net i Nika oraz (nie)Bezpieczne dorastanie;Kosik Rafał;2015;429;fantastyka młodzieżowa;;;;;
214.  ;Buba;Kosmowska Barbara;2010;253;literatura młodzieżowa;;;;;
215.  ;Buba, tom 2, Sezon ogórkowy;Kosmowska Barbara;2012;238;literatura młodzieżowa;;;;;
216.  ;Niechciana;Kosmowska Barbara;2013;182;literatura młodzieżowa;;;;;
217.  ;Puszka;Kosmowska Barbara;2014;189;literatura młodzieżowa;;;;;
218.  ;Stara baśń;Kraszewski Ignacy;2012;261;klasyka;;;;;
219.  ;Godzina pąsowej róży;Kruger Maria;2013;288;literatura młodzieżowa;;;;;
220.  ;Czarnoksiężnik z Archipelagu;Le Guin K. Ursula;2006;196;fantasy;;;;;
221.  ;Zabić drozda;Lee Harper;2006;365;literatura młodzieżowa;;;;;
222.  ;39 wskazówek, tom 3, Złodziej miecza;Lerangis Peter;2012;174;fantastyka dziecięca;;;;;
223.  ;Przygody Sindbada Żeglarza;Leśmian Bolesław;1965;210;literatura dziecięca;;;;;
224.  ;Opowieści z Narnii, tom 1, Lew, czarownica i stara szafa;Lewis C. S.;2005;182;fantasy;;;;;
225.  ;Opowieści z Narnii, tom 1, Lew, czarownica i stara szafa;Lewis C. S.;2005;182;fantasy;;;;;
226.  ;Opowieści z Narnii, tom 2, Książę Kaspian;Lewis C. S.;2005;221;fantasy;;;;;
227.  ;"Opowieści z Narnii, tom 3, Podróż ""Wędrowca do Świtu""";Lewis C. S.;2005;246;fantasy;;;;;
228.  ;Opowieści z Narnii, tom 4, Srebrne krzesło;Lewis C. S.;2005;234;fantasy;;;;;
229.  ;Opowieści z Narnii, tom 5, Koń i jego chłopiec;Lewis C. S.;2005;214;fantasy;;;;;
230.  ;Opowieści z Narnii, tom 6, Siostrzeniec czarodzieja;Lewis C. S.;2005;201;fantasy;;;;;
231.  ;Opowieści z Narnii, tom 7, Ostatnia bitwa;Lewis C. S.;2005;195;fantasy;;;;;
232.  ;Piaskowy wilk;Lind Asa;2007;120;literatura dziecięca;;;;;
236.  ;Dzieci z Bullerbyn;Lindgren Astrid;1994;286;literatura dziecięca;;;;;
241.  ;Mio, mój Mio;Lindgren Astrid;2004;198;literatura dziecięca;;;;;
245.  ;Rasmus i włóczęga;Lindgren Astrid;2004;175;literatura dziecięca;;;;;
233.  ;Bracia Lwie Serce;Lindgren Astrid;2005;205;literatura dziecięca;;;;;
239.  ;Madika i berbeć z Czerwcowego Wzgórza;Lindgren Astrid;2005;214;literatura dziecięca;;;;;
240.  ;Madika z Czerwcowego Wzgórza;Lindgren Astrid;2005;157;literatura dziecięca;;;;;
244.  ;Pippi Pończoszanka;Lindgren Astrid;2005;140;literatura dziecięca;;;;;
247.  ;Ronja, córka zbójnika;Lindgren Astrid;2005;202;literatura dziecięca;;;;;
234.  ;Detektyw Blomkvist i Rasmus, rycerz Białej Róży;Lindgren Astrid;2006;157;literatura dziecięca;;;;;
242.  ;My na wyspie Saltkrakan;Lindgren Astrid;2006;254;literatura dziecięca;;;;;
243.  ;Pippi na Południowym Pacyfiku;Lindgren Astrid;2006;125;literatura dziecięca;;;;;
248.  ;Zwierzenia Britt-Mari;Lindgren Astrid;2006;134;literatura dziecięca;;;;;
235.  ;Dzieci z Bullerbyn;Lindgren Astrid;2010;373;literatura dziecięca;;;;;
238.  ;Kerstin i ja;Lindgren Astrid;2010;167;literatura dziecięca;;;;;
237.  ;Emil ze Smalandii i Lotta z ulicy Awanturników;Lindgren Astrid;2006;103;literatura dziecięca;;;;;
246.  ;Ronja, córka zbójnika;Lindgren Astrid;2006;188;literatura dziecięca;;;;;
249.  ;Wspomnienia o przeszłości Ziemi, tom 1, Problem trzech ciał;Liu Cixin;2017;444;science fiction;;;;;
250.  ;Wspomnienia o przeszłości Ziemi, tom 2, Ciemny las;Liu Cixin;2017;671;science fiction;;;;;
251.  ;Babcia na jabłoni;Lobe Mira;2007;164;literatura dziecięca;;;;;
252.  ;Dawca;Lowry Lois;2003;206;fantastyka młodzieżowa;;;;;
253.  ;Nikczemny spisek;Lowry Lois;2009;159;fantastyka młodzieżowa;;;;;
255.  ;Skrawki błękitu;Lowry Lois;2014;289;fantastyka młodzieżowa;;;;;
